Algorithm,IID,Epsilon,Poison_Rate,Round,Benign_Accuracy,Benign_roc,f1,ASR,ASR_f1,FNR
FedAvg,TRUE,20,0,48,0.2758,0.7080768500000001,0.26786862223762453,0.045888889,0.008775098,0.732131378
FedAvg,TRUE,20,0,49,0.2728,0.709033961,0.26408032770152845,0.031444444,0.006097167,0.735919672
FedAvg,TRUE,20,0,50,0.2733,0.7107651333333334,0.26304107696358997,0.045777778,0.008754781,0.736958923
FedAvg,TRUE,20,0,51,0.274,0.7119727555555555,0.25633622264180456,0.072888889,0.013587406793703396,0.743663777
FedAvg,TRUE,20,0,52,0.2749,0.7121755555555556,0.2603954494169925,0.043111111111111114,0.008265871,0.739604551
FedAvg,TRUE,20,0,53,0.2793,0.7137310833333332,0.27119851465362105,0.048333333,0.009220986,0.728801485
FedAvg,TRUE,20,0,54,0.2764,0.7154471944444444,0.2593350258909828,0.041444444444444443,0.007959031,0.740664974
FedAvg,TRUE,20,0,55,0.2828,0.7158545944444443,0.2727969759942072,0.043888889,0.008408728,0.727203024
FedAvg,TRUE,20,0,56,0.2792,0.7171501666666666,0.2687983498649504,0.031444444,0.006097167,0.73120165
FedAvg,TRUE,20,0,57,0.279,0.718095861,0.2699759305396231,0.046666667,0.008917197,0.730024069
FedAvg,TRUE,20,0,58,0.283,0.7194621055555556,0.268308771,0.054888889,0.010406572572150833,0.731691229
FedAvg,TRUE,20,0,59,0.2848,0.7201204,0.2755083868254899,0.036111111,0.006970509,0.724491613
FedAvg,TRUE,20,0,60,0.2915,0.7215627333333333,0.2834605195013568,0.063222222,0.011892569756505381,0.71653948
FedAvg,TRUE,20,0,61,0.2804,0.7225115444444443,0.25659278926421875,0.071777778,0.013394153016794526,0.743407211
FedAvg,TRUE,20,0,62,0.2899,0.7235125666666666,0.2805360216989683,0.048444444,0.009241204,0.719463978
FedAvg,TRUE,20,0,63,0.2819,0.7245656,0.2610009733843984,0.036222222222222225,0.006991207,0.738999027
FedAvg,TRUE,20,0,64,0.2879,0.7252697777777778,0.27203237510281586,0.046555556,0.008896911,0.727967625
FedAvg,TRUE,20,0,65,0.2902,0.7259886333333334,0.2766267469293524,0.038222222,0.007363014,0.723373253
FedAvg,TRUE,20,0,66,0.2927,0.7274032888888888,0.2788638758310629,0.049888889,0.009503651,0.721136124
FedAvg,TRUE,20,0,67,0.2914,0.7274722888888888,0.2785901877444941,0.046555556,0.008896911,0.721409812
FedAvg,TRUE,20,0,68,0.2914,0.7287815666666666,0.2763953488601431,0.049666666666666665,0.009463322,0.723604651
FedAvg,TRUE,20,0,69,0.2914,0.7294023111111112,0.27444675583314154,0.094111111,0.017203209099218037,0.725553244
FedAvg,TRUE,20,0,70,0.2943,0.7301601611111112,0.2781085207101695,0.056666666666666664,0.010725552050473186,0.721891479
FedAvg,TRUE,20,0,71,0.2923,0.7312220944444443,0.272257361,0.083222222,0.015365679,0.727742639
FedAvg,TRUE,20,0,72,0.2939,0.7316889388888889,0.2818279918952297,0.062777778,0.011813904861474125,0.718172008
FedAvg,TRUE,20,0,73,0.2932,0.7321919722222223,0.2799872524251518,0.063,0.011853246,0.720012748
FedAvg,TRUE,20,0,74,0.2959,0.7329062444444444,0.28464830569886673,0.068888889,0.012889813,0.715351694
